FEC_ID,PRIMARY_PCT,GENERAL_PCT,ELEC_CYCLE
H4CA39041,0.29446018,0.314550572,2014
H4CA41120,0.369619563,0.433569808,2014
H4CA42086,0.158142883,0.342622806,2014
H4CA43084,0.327503088,0.290431967,2014
H4CA44165,0.000194962,0.13348436,2014
H4CA45097,0.45059293,0.651207474,2014
H4CA46129,0.181412378,0.403012663,2014
H4CA47069,0.4291383,0.440105348,2014
H4CA48042,0.195126647,0.358780285,2014
H4CA49099,0.283851346,0.398309448,2014
H4CA49107,0.281070572,0.348792526,2014
H4CA51079,0.313040325,0.312104942,2014
H4CA52051,0.352558271,0.484131293,2014
H4CA53059,0.206670939,0.411634379,2014
H4CO00023,1,0.356988131,2014
H4CO01112,0.999953532,0.289708216,2014
H4CO01138,,3.59074E-06,2014
H4CO01146,,7.18148E-06,2014
H4CO02094,1,0.432568761,2014
H4CO03274,,0.023020477,2014
H4CO04074,0.998613236,0.292233698,2014
H4CO04082,,0.027978374,2014
H4CO04090,0.44193775,0.646727654,2014
H4CO04140,,0.033060274,2014
H4CO05055,1,0.402020125,2014
H4CO06087,1,0.429919693,2014
H4CO07036,1,0.449270462,2014
H4CT01060,,0.015820563,2014
H4CT02068,,0.354647796,2014
H4CT02084,,0.011182964,2014
H4CT03082,,0.330829431,2014
H4DC00076,,0.052945728,2014
H4DC00092,0.89833201,0.067908524,2014
H4FL01155 ,,0.064930761,2014
H4FL02062,1,0.504828249,2014
H4FL02070 ,,0.001689487,2014
H4FL03102 ,,0.0271318,2014
H4FL03110 ,1,0.323020511,2014
H4FL04043 ,,0.156930822,2014
H4FL05065,0.629657271,0.345250238,2014
H4FL06022,1,0.374554675,2014
H4FL07087 ,1,0.321402159,2014
H4FL08085 ,1,0.341419168,2014
H4FL08093,,0.000222212,2014
H4FL09083 ,0.546082513,0.431124122,2014
H4FL09091,0.497286466,0.384505577,2014
H4FL09133,,0.029100864,2014
H4FL09141 ,,2.87558E-05,2014
H4FL10115,,8.59941E-05,2014
H4FL11071,1,0.33341168,2014
H4FL13077,1,0.247423695,2014
H4FL13101,1,0.752191648,2014
H4FL13150 ,,0.000384657,2014
H4FL15155 ,1,0.397187029,2014
H4FL16146 ,1,0.383813207,2014
H4FL16153,,0.000800498,2014
H4FL18068 ,0.38364444,0.402156496,2014
H4FL19058,1,0.327406921,2014
H4FL19074 ,1,0.645521164,2014
H4FL19082,,4.86104E-05,2014
H4FL20023,1,0.626677913,2014
H4FL20064,1,0.183963522,2014
H4FL22102 ,,3.2393E-05,2014
H4FL22110 ,0.42611762,0.419651451,2014
H4FL24025,,0.036600008,2014
H4FL26038 ,0.470103442,0.514643262,2014
H4GA01039,0.538103193,0.609135402,2014
H4GA01120,0.630892581,0.390864598,2014
H4GA02060,0.694266442,0.408453039,2014
H4GA04058,,0.000675676,2014
H4GA04124,1,0.346129707,2014
H4GA06087,1,0.660405503,2014
H4GA08067,0.694868914,1,2014
H4GA09057,1,0.193253686,2014
H4GA10089,1,0.334777077,2014
H4GA11061,0.660650989,1,2014
H4GA12010,1,0.452468018,2014
H4GU00021,0.982540375,0.418209272,2014
H4HI01134,0.44474805,0.519283379,2014
H4HI02116,1,0.026024078,2014
H4IA01069 ,0.367105026,0.487874431,2014
H4IA03065 ,0.991942415,0.42227351,2014
H4IA03115 ,0.155223881,0.527585742,2014
H4IA03131,,0.03209887,2014
H4IA03149,,0.015457375,2014
H4IA04113 ,0.995775498,0.382769843,2014
H4ID01081 ,0.82036634,0.349884997,2014
H4IL00032 ,1,0.293787236,2014
H4IL02301,1,0.214421392,2014
H4IL02343 ,1,0.784942183,2014
H4IL03077,1,0.645622184,2014
H4IL03093,0.62665984,0.354377816,2014
H4IL06104 ,1,0.328646462,2014
H4IL07037,1,0.85095294,2014
H4IL07151,1,0.14904706,2014
H4IL08126,0.715027259,0.442736469,2014
H4IL11195 ,0.368889999,0.465377749,2014
H4IL12060,1,0.524645033,2014
H4IL13175,0.546521533,0.413440686,2014
H4IL15071 ,1,0.250768274,2014
H4IL17077,,8.02564E-05,2014
H4IL18117,0.542994781,0.252804572,2014
H4IN01012 ,1,0.608455792,2014
H4IN01152,,0.033128826,2014
H4IN02135 ,0.580883122,0.38285124,2014
H4IN02168,,0.02773416,2014
H4IN04172,0.421776375,0.331254312,2014
H4IN05120 ,0.418980692,0.308201189,2014
H4IN05153,,0.039686571,2014
H4IN06110,,0.04755886,2014
H4IN07183,,0.035016613,2014
H4IN08207 ,1,0.358310714,2014
H4IN09072,0.453926107,0.338795593,2014
H4IN09130,,0.035575508,2014
H4KS01075,0.656614942,0.320320727,2014
H4KS02115,1,0.386169279,2014
H4KS02123,,0.043383285,2014
H4KS03188,0.685028726,0.399791143,2014
H4KS04111,1,0.333389382,2014
H4KY01016,0.554875115,0.268770761,2014
H4KY01040,1,0.731229239,2014
H4KY02089,1,0.308146045,2014
H4KY03210,1,0.35568717,2014
H4KY03244,1,0.009371147,2014
H4KY06130,0.608725672,0.400050469,2014
H4LA01139,,0.035683841,2014
H4LA01147 ,,0.087236275,2014
H4LA02087,,0.068768335,2014
H4LA02103 ,,0.073687774,2014
H4LA03119,,0.119956998,2014
H4LA05080 ,,0.357815496,2014
H4LA05098,,0.006908758,2014
H4LA05171,,0.01561829,2014
H4LA05213,,0.019177545,2014
H4LA05221,,0.642184504,2014
H4LA05239,,0.041285572,2014
H4LA05247,,0.223868821,2014
H4LA05262,,0.009188023,2014
H4LA06047,,0.013776748,2014
H4LA06062,,0.028276959,2014
H4LA06088,,0.135500369,2014
H4LA06112,,0.102615686,2014
H4LA06120,,0.005598134,2014
H4LA06138,,0.007149517,2014
H4LA06146,,0.022496992,2014
H4LA06153,,0.6242836,2014
H4LA06161,,0.3757164,2014
H4LA06179,,0.074091125,2014
H4LA07029,,0.786678687,2014
H4MA03022,0.992825112,0.982025529,2014
H4MA03097,0.993367665,0.369492998,2014
H4MA05084,0.811887674,0.982942891,2014
H4MA05167,,5.39782E-06,2014
H4MA06090,0.507725197,0.549697119,2014
H4MA06124 ,,0.038105349,2014
H4MA09078,0.323482671,0.449912147,2014
H4MD01101,0.57122801,0.294878962,2014
H4MD02166,,0.027124479,2014
H4MD02174,1,0.358592135,2014
H4MD03123 ,0.436007805,0.40301279,2014
H4MD04121,0.376121076,0.282620141,2014
H4MD05169,0.415980778,0.357246505,2014
H4MD05177,,0.001004247,2014
H4MD06191,0.83532861,0.482481001,2014
H4MD07074,0.547788997,0.270104299,2014
H4MD08205,,0.000453138,2014
H4ME00014,,0.088734793,2014
H4ME01137,1,0.306738794,2014
H4ME02200 ,0.710370423,0.418263667,2014
H4ME02234,0.568384068,0.470308487,2014
H4MI01114,1,0.452814725,2014
H4MI01148,,0.015283991,2014
H4MI02104 ,1,0.332521401,2014
H4MI02112 ,,0.018195727,2014
H4MI03227 ,1,0.390118113,2014
H4MI03235 ,,0.030810674,2014
H4MI04126,0.523967647,0.564945334,2014
H4MI04134,1,0.390920733,2014
H4MI04142,,0.022741463,2014
H4MI05123 ,0.51321169,0.311617103,2014
H4MI05149,0.428146649,0.420643702,2014
H4MI05156,,0.021311077,2014
H4MI06105,1,0.403831062,2014
H4MI06121,,0.026462369,2014
H4MI06139,,0.010785928,2014
H4MI07103,0.792955398,0.534519525,2014
H4MI07178,1,0.411663724,2014
H4MI07186 ,,0.019531931,2014
H4MI07202,,0.014028656,2014
H4MI08093,,0.02139247,2014
H4MI08101,,0.006910026,2014
H4MI08135 ,0.602619939,0.54597018,2014
H4MI08168,,0.018743445,2014
H4MI08176 ,,0.007732648,2014
H4MI09075,1,0.360874746,2014
H4MI09083,,0.021226363,2014
H4MI09091,,0.013966344,2014
H4MI11097,0.66403212,0.558971971,2014
H4MI11105 ,0.342908896,0.404719827,2014
H4MI12061 ,1,0.313152037,2014
H4MI12079 ,0.776566476,0.650082261,2014
H4MI13200,1,0.163129616,2014
H4MI13218 ,,0.02076108,2014
H4MI13226,,0.196740215,2014
H4MI14190,,0.009408476,2014
H4MI14208,,0.000141198,2014
H4MN02136,1,0.050108197,2014
H4MN04116 ,1,0.328972798,2014
H4MN04124,1,0.058182315,2014
H4MN05071,1,0.239722893,2014
H4MN05089,1,0.05084954,2014
H4MN06087 ,0.732966045,0.562931187,2014
H4MN06129 ,1,0.383903465,2014
H4MN06137,1,0.052595357,2014
H4MN07077 ,1,0.456557394,2014
H4MN08083 ,1,0.471123672,2014
H4MN08091,,0.043031686,2014
H4MO01118,0.39258982,0.21574492,2014
H4MO03171,0.571474531,0.271480013,2014
H4MO04120,1,0.263571696,2014
H4MO05234 ,0.820402645,0.515872034,2014
H4MO05341 ,1,0.034549419,2014
H4MO07107,1,0.076751831,2014
H4MO08162 ,1,0.666507562,2014
H4MO08188,1,0.023859468,2014
H4MO08212,1,0.243185701,2014
H4MO08220,,0.042839019,2014
H4MP00016,,0.347205254,2014
H4MS00013,0.524661766,0.279292876,2014
H4MS01102,1,0.009014543,2014
H4MS01110,0.659825239,0.289277419,2014
H4MS01128,1,0.006260299,2014
H4MS02068,0.957219743,0.677367706,2014
H4MS02183,,0.245314371,2014
